n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,cv_mean_score,val_roc_auc,val_accuracy,val_f1_macro,val_f1_weighted,train_roc_auc,overfit_gap
150,40,15,log2,7,0.743187631709772,0.7560947784861748,0.31213872832369943,0.2217451053790141,0.19684335699249841,0.9058587374696075,0.14976395898343275
100,60,15,log2,7,0.7336727154271712,0.7488719654916739,0.28769611890999175,0.17925789250403712,0.15215505800891263,0.9096653815745653,0.16079341608289144
100,50,15,log2,7,0.733825180996868,0.7477406990506859,0.30388109000825764,0.20635987899480993,0.18078260435789806,0.8617143781479911,0.11397367909730527
50,50,20,sqrt,6,0.7304363335672948,0.7458267632886756,0.2972749793559042,0.19540606714125053,0.16779364656866746,0.8332567368609475,0.08742997357227189
50,40,30,sqrt,5,0.7262462976688727,0.7444021036236136,0.2880264244426094,0.1796689931714823,0.15214850455170995,0.8640269566613247,0.11962485303771109
50,50,30,sqrt,5,0.7262462976688727,0.7444021036236136,0.2880264244426094,0.1796689931714823,0.15214850455170995,0.8640269566613247,0.11962485303771109
50,60,15,sqrt,5,0.7255220593478714,0.7433109411561478,0.28868703550784475,0.1819795790055807,0.1557904022009078,0.9291660388689883,0.18585509771284048
100,50,20,log2,8,0.7327372344496403,0.7429173309343972,0.2966143682906689,0.19412476178677288,0.1665144056354701,0.8282148683590095,0.08529753742461232
150,30,20,sqrt,6,0.7467306802550019,0.7422784625234051,0.2888521882741536,0.1821637914275988,0.15498224892097884,0.9300694392248907,0.1877909767014856
150,50,30,sqrt,8,0.7561672515490705,0.7419026776053756,0.28769611890999175,0.17925789250403712,0.15215505800891263,0.8955789098839427,0.15367623227856708
50,40,20,sqrt,5,0.7254139324484852,0.741549701906595,0.2875309661436829,0.17912593785603861,0.15248617183119445,0.8905371711884219,0.14898746928182693
100,50,25,log2,8,0.7323467226356163,0.7375160390747009,0.3063583815028902,0.21193161814641873,0.18595291643442688,0.8494752747087817,0.11195923563408083
100,60,30,sqrt,7,0.7473873056115021,0.7371854961930708,0.2898431048720066,0.1826228855139159,0.1547966495926235,0.8878733371046177,0.15068784091154686
100,60,20,sqrt,6,0.7423477049316455,0.7366096720066688,0.2880264244426094,0.1796689931714823,0.15214850455170995,0.8230113676292118,0.08640169562254296
50,60,25,sqrt,5,0.7263602800044969,0.7365365202139191,0.2885218827415359,0.18038493962446722,0.15250839498660915,0.8473159554961557,0.11077943528223655
50,40,15,sqrt,7,0.7343504110785396,0.732451175128752,0.2971098265895954,0.19679492517991215,0.16998703364676937,0.8089703751518262,0.07651920002307422
50,30,25,log2,8,0.7099840407055619,0.7279096221301435,0.29545829892650705,0.19183773408089433,0.16382810502073383,0.7765801322030009,0.04867051007285739
50,60,20,log2,7,0.7128483439011998,0.7276960011997577,0.2939719240297275,0.189683843927113,0.16154872203953238,0.7775915899626001,0.04989558876284239
50,30,30,log2,8,0.7120024329303413,0.7276960011997577,0.2939719240297275,0.189683843927113,0.16154872203953238,0.7775915899626001,0.04989558876284239
50,40,30,log2,8,0.7120024329303413,0.7276960011997577,0.2939719240297275,0.189683843927113,0.16154872203953238,0.7775915899626001,0.04989558876284239
150,50,15,log2,5,0.7369650683976895,0.7271654971983492,0.29512799339388934,0.1916177511164616,0.16379836571205816,0.7770106213274629,0.04984512412911368
100,40,25,log2,7,0.7343158734101222,0.7262374986694733,0.29149463253509494,0.1867267813651388,0.16085911883598933,0.8985193694570273,0.17228187078755397
150,50,15,log2,6,0.7382591883648151,0.7262374986694733,0.29149463253509494,0.1867267813651388,0.16085911883598933,0.8985193694570273,0.17228187078755397
100,50,25,log2,6,0.73094000263387,0.7214502338666273,0.2906688687035508,0.18417141974268042,0.15584523806462813,0.8597254966429568,0.1382752627763295
50,60,30,log2,5,0.7113068765946302,0.7186239575255566,0.2870355078447564,0.178227289899941,0.151433846119733,0.7868377112128153,0.06821375368725868
